boolean_expressions,causal_judgement,date_understanding,disambiguation_qa,dyck_languages,formal_fallacies,geometric_shapes,hyperbaton,logical_deduction_five_objects,logical_deduction_seven_objects,logical_deduction_three_objects,movie_recommendation,multistep_arithmetic_two,navigate,object_counting,penguins_in_a_table,reasoning_about_colored_objects,ruin_names,salient_translation_error_detection,snarks,sports_understanding,temporal_sequences,tracking_shuffled_objects_five_objects,tracking_shuffled_objects_seven_objects,tracking_shuffled_objects_three_objects,web_of_lies,word_sorting
9.999988079071044922e-01,9.693431854248046875e-01,9.668176174163818359e-01,9.755290150642395020e-01,9.755237102508544922e-01,9.770035147666931152e-01,9.690142869949340820e-01,9.823050498962402344e-01,9.687106609344482422e-01,9.637540578842163086e-01,9.772060513496398926e-01,9.813498258590698242e-01,9.754251241683959961e-01,9.796965122222900391e-01,9.880243539810180664e-01,9.656116962432861328e-01,9.707214832305908203e-01,9.805467128753662109e-01,9.641650915145874023e-01,9.835733175277709961e-01,9.951740503311157227e-01,9.645255804061889648e-01,9.629527926445007324e-01,9.623017311096191406e-01,9.703187346458435059e-01,9.725079536437988281e-01,9.797859191894531250e-01
9.693431854248046875e-01,9.999939203262329102e-01,9.851601123809814453e-01,9.887006282806396484e-01,9.938013553619384766e-01,9.919049739837646484e-01,9.825555086135864258e-01,9.901410341262817383e-01,9.917956590652465820e-01,9.899781346321105957e-01,9.915316104888916016e-01,9.803454875946044922e-01,9.873976707458496094e-01,9.862470626831054688e-01,9.861423969268798828e-01,9.866979718208312988e-01,9.905791282653808594e-01,9.836245179176330566e-01,9.920616149902343750e-01,9.880915880203247070e-01,9.693584442138671875e-01,9.898798465728759766e-01,9.894065856933593750e-01,9.882624149322509766e-01,9.926345944404602051e-01,9.907407760620117188e-01,9.856263399124145508e-01
9.668176174163818359e-01,9.851601123809814453e-01,9.999996423721313477e-01,9.823539853096008301e-01,9.894070625305175781e-01,9.852354526519775391e-01,9.890138506889343262e-01,9.860451817512512207e-01,9.938158988952636719e-01,9.932236671447753906e-01,9.881820082664489746e-01,9.790999293327331543e-01,9.926918148994445801e-01,9.799100160598754883e-01,9.865331053733825684e-01,9.967573881149291992e-01,9.916798472404479980e-01,9.818235635757446289e-01,9.838610887527465820e-01,9.831650257110595703e-01,9.679044485092163086e-01,9.916594624519348145e-01,9.920491576194763184e-01,9.914937615394592285e-01,9.940086603164672852e-01,9.867494702339172363e-01,9.855294227600097656e-01
9.755290150642395020e-01,9.887006282806396484e-01,9.823539853096008301e-01,1.000000715255737305e+00,9.903885722160339355e-01,9.945285320281982422e-01,9.851639270782470703e-01,9.952890872955322266e-01,9.869416356086730957e-01,9.817200899124145508e-01,9.947391748428344727e-01,9.878435134887695312e-01,9.874545335769653320e-01,9.913338422775268555e-01,9.910783767700195312e-01,9.823341369628906250e-01,9.882360696792602539e-01,9.943647384643554688e-01,9.861459732055664062e-01,9.932963848114013672e-01,9.772363901138305664e-01,9.800682663917541504e-01,9.818638563156127930e-01,9.801601171493530273e-01,9.891198873519897461e-01,9.886761903762817383e-01,9.895184636116027832e-01
9.755237102508544922e-01,9.938013553619384766e-01,9.894070625305175781e-01,9.903885722160339355e-01,1.000003933906555176e+00,9.942537546157836914e-01,9.889018535614013672e-01,9.937070012092590332e-01,9.942433834075927734e-01,9.906558990478515625e-01,9.946896433830261230e-01,9.865642786026000977e-01,9.945732355117797852e-01,9.887801408767700195e-01,9.920111894607543945e-01,9.909609556198120117e-01,9.948882460594177246e-01,9.897440671920776367e-01,9.918012619018554688e-01,9.905675053596496582e-01,9.769104719161987305e-01,9.896098971366882324e-01,9.911469221115112305e-01,9.901532530784606934e-01,9.946588277816772461e-01,9.940252304077148438e-01,9.931225776672363281e-01
9.770035147666931152e-01,9.919049739837646484e-01,9.852354526519775391e-01,9.945285320281982422e-01,9.942537546157836914e-01,1.000005245208740234e+00,9.884828925132751465e-01,9.952591657638549805e-01,9.912453889846801758e-01,9.871689081192016602e-01,9.974327683448791504e-01,9.905899763107299805e-01,9.913604259490966797e-01,9.929410219192504883e-01,9.934382438659667969e-01,9.866672754287719727e-01,9.919268488883972168e-01,9.940626621246337891e-01,9.890687465667724609e-01,9.953125715255737305e-01,9.782236814498901367e-01,9.858043193817138672e-01,9.872861504554748535e-01,9.853513240814208984e-01,9.923428297042846680e-01,9.916620850563049316e-01,9.934065341949462891e-01
9.690142869949340820e-01,9.825555086135864258e-01,9.890138506889343262e-01,9.851639270782470703e-01,9.889018535614013672e-01,9.884828925132751465e-01,1.000001907348632812e+00,9.864692687988281250e-01,9.883666038513183594e-01,9.863533377647399902e-01,9.881260395050048828e-01,9.840182662010192871e-01,9.881651401519775391e-01,9.845847487449645996e-01,9.877033233642578125e-01,9.892082214355468750e-01,9.902373552322387695e-01,9.869335889816284180e-01,9.814953804016113281e-01,9.854178428649902344e-01,9.725984334945678711e-01,9.842971563339233398e-01,9.861303567886352539e-01,9.852082729339599609e-01,9.875752329826354980e-01,9.856680631637573242e-01,9.894223809242248535e-01
9.823050498962402344e-01,9.901410341262817383e-01,9.860451817512512207e-01,9.952890872955322266e-01,9.937070012092590332e-01,9.952591657638549805e-01,9.864692687988281250e-01,1.000000476837158203e+00,9.903762340545654297e-01,9.849199056625366211e-01,9.966425895690917969e-01,9.899158477783203125e-01,9.924471378326416016e-01,9.904108047485351562e-01,9.951438903808593750e-01,9.862861633300781250e-01,9.911552667617797852e-01,9.954476952552795410e-01,9.885562658309936523e-01,9.961086511611938477e-01,9.836705327033996582e-01,9.844827651977539062e-01,9.851315021514892578e-01,9.832122325897216797e-01,9.915019273757934570e-01,9.908826351165771484e-01,9.926537275314331055e-01
9.687106609344482422e-01,9.917956590652465820e-01,9.938158988952636719e-01,9.869416356086730957e-01,9.942433834075927734e-01,9.912453889846801758e-01,9.883666038513183594e-01,9.903762340545654297e-01,9.999986886978149414e-01,9.983701705932617188e-01,9.932698011398315430e-01,9.823458194732666016e-01,9.920378923416137695e-01,9.825052022933959961e-01,9.901282191276550293e-01,9.951916933059692383e-01,9.960901737213134766e-01,9.852433204650878906e-01,9.919183254241943359e-01,9.863018989562988281e-01,9.703969955444335938e-01,9.943132400512695312e-01,9.963740110397338867e-01,9.950894713401794434e-01,9.975342750549316406e-01,9.924709796905517578e-01,9.893878698348999023e-01
9.637540578842163086e-01,9.899781346321105957e-01,9.932236671447753906e-01,9.817200899124145508e-01,9.906558990478515625e-01,9.871689081192016602e-01,9.863533377647399902e-01,9.849199056625366211e-01,9.983701705932617188e-01,9.999972581863403320e-01,9.888621568679809570e-01,9.772984385490417480e-01,9.885538220405578613e-01,9.782282114028930664e-01,9.854167699813842773e-01,9.950249195098876953e-01,9.945753812789916992e-01,9.802535772323608398e-01,9.904030561447143555e-01,9.815835952758789062e-01,9.651306867599487305e-01,9.943033456802368164e-01,9.972112774848937988e-01,9.967772364616394043e-01,9.953500628471374512e-01,9.892665147781372070e-01,9.850674867630004883e-01
9.772060513496398926e-01,9.915316104888916016e-01,9.881820082664489746e-01,9.947391748428344727e-01,9.946896433830261230e-01,9.974327683448791504e-01,9.881260395050048828e-01,9.966425895690917969e-01,9.932698011398315430e-01,9.888621568679809570e-01,9.999979138374328613e-01,9.895330667495727539e-01,9.935426712036132812e-01,9.907339811325073242e-01,9.939102530479431152e-01,9.888163208961486816e-01,9.923614263534545898e-01,9.928867816925048828e-01,9.893642663955688477e-01,9.947457313537597656e-01,9.791083335876464844e-01,9.865869283676147461e-01,9.872149229049682617e-01,9.851709604263305664e-01,9.941782951354980469e-01,9.925076961517333984e-01,9.924749135971069336e-01
9.813498258590698242e-01,9.803454875946044922e-01,9.790999293327331543e-01,9.878435134887695312e-01,9.865642786026000977e-01,9.905899763107299805e-01,9.840182662010192871e-01,9.899158477783203125e-01,9.823458194732666016e-01,9.772984385490417480e-01,9.895330667495727539e-01,1.000003337860107422e+00,9.848064184188842773e-01,9.883427619934082031e-01,9.917249679565429688e-01,9.782722592353820801e-01,9.849430322647094727e-01,9.924350976943969727e-01,9.781621694564819336e-01,9.915528893470764160e-01,9.835283756256103516e-01,9.766467213630676270e-01,9.763805866241455078e-01,9.757891893386840820e-01,9.846625328063964844e-01,9.840930700302124023e-01,9.933578372001647949e-01
9.754251241683959961e-01,9.873976707458496094e-01,9.926918148994445801e-01,9.874545335769653320e-01,9.945732355117797852e-01,9.913604259490966797e-01,9.881651401519775391e-01,9.924471378326416016e-01,9.920378923416137695e-01,9.885538220405578613e-01,9.935426712036132812e-01,9.848064184188842773e-01,9.999958276748657227e-01,9.883641004562377930e-01,9.910099506378173828e-01,9.912288188934326172e-01,9.912937879562377930e-01,9.899135231971740723e-01,9.858781099319458008e-01,9.897338151931762695e-01,9.760759472846984863e-01,9.889844059944152832e-01,9.877632856369018555e-01,9.868017435073852539e-01,9.933702349662780762e-01,9.913733005523681641e-01,9.901257753372192383e-01
9.796965122222900391e-01,9.862470626831054688e-01,9.799100160598754883e-01,9.913338422775268555e-01,9.887801408767700195e-01,9.929410219192504883e-01,9.845847487449645996e-01,9.904108047485351562e-01,9.825052022933959961e-01,9.782282114028930664e-01,9.907339811325073242e-01,9.883427619934082031e-01,9.883641004562377930e-01,9.999992847442626953e-01,9.916692972183227539e-01,9.805260896682739258e-01,9.836676716804504395e-01,9.918437004089355469e-01,9.806469678878784180e-01,9.939081668853759766e-01,9.815450310707092285e-01,9.788476824760437012e-01,9.782032966613769531e-01,9.760657548904418945e-01,9.850872755050659180e-01,9.867073297500610352e-01,9.898602962493896484e-01
9.880243539810180664e-01,9.861423969268798828e-01,9.865331053733825684e-01,9.910783767700195312e-01,9.920111894607543945e-01,9.934382438659667969e-01,9.877033233642578125e-01,9.951438903808593750e-01,9.901282191276550293e-01,9.854167699813842773e-01,9.939102530479431152e-01,9.917249679565429688e-01,9.910099506378173828e-01,9.916692972183227539e-01,9.999982118606567383e-01,9.875463247299194336e-01,9.913056492805480957e-01,9.931772947311401367e-01,9.851020574569702148e-01,9.943221807479858398e-01,9.896827936172485352e-01,9.853450059890747070e-01,9.852775335311889648e-01,9.830507040023803711e-01,9.911161065101623535e-01,9.891160726547241211e-01,9.941983819007873535e-01
9.656116962432861328e-01,9.866979718208312988e-01,9.967573881149291992e-01,9.823341369628906250e-01,9.909609556198120117e-01,9.866672754287719727e-01,9.892082214355468750e-01,9.862861633300781250e-01,9.951916933059692383e-01,9.950249195098876953e-01,9.888163208961486816e-01,9.782722592353820801e-01,9.912288188934326172e-01,9.805260896682739258e-01,9.875463247299194336e-01,1.000002741813659668e+00,9.942516684532165527e-01,9.821989536285400391e-01,9.873849153518676758e-01,9.828158020973205566e-01,9.673910140991210938e-01,9.930939674377441406e-01,9.954670071601867676e-01,9.937105178833007812e-01,9.948295950889587402e-01,9.883179664611816406e-01,9.861130118370056152e-01
9.707214832305908203e-01,9.905791282653808594e-01,9.916798472404479980e-01,9.882360696792602539e-01,9.948882460594177246e-01,9.919268488883972168e-01,9.902373552322387695e-01,9.911552667617797852e-01,9.960901737213134766e-01,9.945753812789916992e-01,9.923614263534545898e-01,9.849430322647094727e-01,9.912937879562377930e-01,9.836676716804504395e-01,9.913056492805480957e-01,9.942516684532165527e-01,1.000003933906555176e+00,9.886761903762817383e-01,9.935138225555419922e-01,9.871352910995483398e-01,9.723517298698425293e-01,9.932124614715576172e-01,9.954563379287719727e-01,9.944559335708618164e-01,9.964050054550170898e-01,9.908986687660217285e-01,9.919632077217102051e-01
9.805467128753662109e-01,9.836245179176330566e-01,9.818235635757446289e-01,9.943647384643554688e-01,9.897440671920776367e-01,9.940626621246337891e-01,9.869335889816284180e-01,9.954476952552795410e-01,9.852433204650878906e-01,9.802535772323608398e-01,9.928867816925048828e-01,9.924350976943969727e-01,9.899135231971740723e-01,9.918437004089355469e-01,9.931772947311401367e-01,9.821989536285400391e-01,9.886761903762817383e-01,1.000003933906555176e+00,9.835591316223144531e-01,9.945489168167114258e-01,9.828910231590270996e-01,9.796961545944213867e-01,9.809554815292358398e-01,9.797800779342651367e-01,9.875823259353637695e-01,9.879161715507507324e-01,9.927067756652832031e-01
9.641650915145874023e-01,9.920616149902343750e-01,9.838610887527465820e-01,9.861459732055664062e-01,9.918012619018554688e-01,9.890687465667724609e-01,9.814953804016113281e-01,9.885562658309936523e-01,9.919183254241943359e-01,9.904030561447143555e-01,9.893642663955688477e-01,9.781621694564819336e-01,9.858781099319458008e-01,9.806469678878784180e-01,9.851020574569702148e-01,9.873849153518676758e-01,9.935138225555419922e-01,9.835591316223144531e-01,1.000000953674316406e+00,9.835102558135986328e-01,9.655559062957763672e-01,9.905457496643066406e-01,9.916703701019287109e-01,9.893990159034729004e-01,9.924792051315307617e-01,9.874297380447387695e-01,9.839676618576049805e-01
9.835733175277709961e-01,9.880915880203247070e-01,9.831650257110595703e-01,9.932963848114013672e-01,9.905675053596496582e-01,9.953125715255737305e-01,9.854178428649902344e-01,9.961086511611938477e-01,9.863018989562988281e-01,9.815835952758789062e-01,9.947457313537597656e-01,9.915528893470764160e-01,9.897338151931762695e-01,9.939081668853759766e-01,9.943221807479858398e-01,9.828158020973205566e-01,9.871352910995483398e-01,9.945489168167114258e-01,9.835102558135986328e-01,1.000002145767211914e+00,9.852601289749145508e-01,9.805809259414672852e-01,9.813790321350097656e-01,9.795680046081542969e-01,9.878423213958740234e-01,9.880559444427490234e-01,9.927568435668945312e-01
