task,unpruned_accuracy,static_accuracy,adapt_accuracy,adapt_minus_static,adapt_minus_static_ci_low,adapt_minus_static_ci_high,adapt_minus_unpruned,static_minus_unpruned,paired_examples,static_keep_ratio,adapt_keep_ratio,unpruned_latency_ms,static_latency_ms,adapt_latency_ms
movie_recommendation,0.44,0.0,0.56,0.56,0.36,0.76,0.12000000000000005,-0.44,25,0.75,0.75,600.7716063200132,7992.94645732003,1391.601437200079
temporal_sequences,0.36,0.0,0.44,0.44,0.24,0.64,0.08000000000000002,-0.36,25,0.75,0.75,2605.252395280004,7942.906076760047,2329.6462884000357
logical_deduction_three_objects,0.84,0.08,0.44,0.36,0.12,0.6,-0.39999999999999997,-0.76,25,0.75,0.75,1616.2802003199977,7462.405712879917,1529.7099834400797
navigate,0.48,0.24,0.6,0.36,0.16,0.56,0.12,-0.24,25,0.75,0.75,1065.7240613599424,4914.862432999944,328.7134874000549
geometric_shapes,0.32,0.0,0.24,0.24,0.08,0.4,-0.08000000000000002,-0.32,25,0.75,0.75,433.64972272003797,7962.993316319934,1480.1195431600174
date_understanding,0.28,0.0,0.16,0.16,0.04,0.32,-0.12000000000000002,-0.28,25,0.75,0.75,4502.634962600023,7992.7918300400315,9125.407931679974
logical_deduction_seven_objects,0.08,0.0,0.16,0.16,0.04,0.32,0.08,-0.08,25,0.75,0.75,5165.172387479979,7898.23052183996,7423.0899260400465
penguins_in_a_table,0.4,0.16,0.32,0.16,0.04,0.32,-0.08000000000000002,-0.24000000000000002,25,0.75,0.75,3433.0344167998555,7454.678558000014,6686.502060639941
logical_deduction_five_objects,0.16,0.08,0.2,0.12000000000000001,-0.08,0.32,0.04000000000000001,-0.08,25,0.75,0.75,4613.307927199967,7889.7788936800125,6317.904583000018
causal_judgement,0.48,0.48,0.6,0.12,-0.08,0.32,0.12,0.0,25,0.75,0.75,185.78290263999406,273.6721538399888,325.9799428399856
hyperbaton,0.56,0.52,0.64,0.12,-0.12,0.36,0.07999999999999996,-0.040000000000000036,25,0.75,0.75,1189.7323349199542,7160.0362475199645,7241.837832839973
reasoning_about_colored_objects,0.2,0.12,0.2,0.08000000000000002,0.0,0.2,0.0,-0.08000000000000002,25,0.75,0.75,4802.782329879992,7779.48866079998,7770.454082760007
ruin_names,0.56,0.36,0.44,0.08000000000000002,-0.16,0.32,-0.12000000000000005,-0.20000000000000007,25,0.75,0.75,619.0255620000607,6007.505515079974,1120.8072308400006
salient_translation_error_detection,0.52,0.28,0.36,0.07999999999999996,-0.12,0.28,-0.16000000000000003,-0.24,25,0.75,0.75,495.8883128800153,895.7713289200547,857.6270482399195
tracking_shuffled_objects_three_objects,0.0,0.0,0.04,0.04,0.0,0.12,0.04,0.0,25,0.75,0.75,5561.148250479746,7941.330500880285,6748.945624679981
web_of_lies,0.0,0.0,0.04,0.04,0.0,0.12,0.04,0.0,25,0.75,0.75,5604.40625600022,7991.83601544013,10080.431663439886
sports_understanding,0.48,0.4,0.44,0.03999999999999998,-0.16,0.24,-0.03999999999999998,-0.07999999999999996,25,0.75,0.75,186.72278551999625,4922.9505278799115,328.5739082398868
boolean_expressions,0.68,0.56,0.56,0.0,-0.28,0.28,-0.12,-0.12,25,0.75,0.75,1252.1930016799888,4007.889394879994,766.9837572400046
dyck_languages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.75,0.75,1598.5208773200063,7975.032054280053,8956.841045720013
tracking_shuffled_objects_five_objects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.75,0.75,5555.71457324011,7926.966279239931,10015.011470839745
tracking_shuffled_objects_seven_objects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.75,0.75,5559.132199200029,7920.758104240377,9971.346113559921
word_sorting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.75,0.75,2937.8163008398406,7616.191190319879,8527.295652559988
multistep_arithmetic_two,0.0,0.04,0.0,-0.04,-0.12,0.0,0.0,0.04,25,0.75,0.75,5615.345282319904,7984.5084351999685,10054.096039560027
formal_fallacies,0.8,0.64,0.6,-0.040000000000000036,-0.36,0.28,-0.20000000000000007,-0.16000000000000003,25,0.75,0.75,188.38335787999313,265.51966804001495,329.1155507199619
disambiguation_qa,0.48,0.48,0.4,-0.07999999999999996,-0.28,0.12,-0.07999999999999996,0.0,25,0.75,0.75,625.9409508000317,824.2378565599756,853.9538348799761
snarks,0.64,0.6,0.52,-0.07999999999999996,-0.32,0.16,-0.12,-0.040000000000000036,25,0.75,0.75,1547.5148974800686,3581.778959719995,3415.531115999984
object_counting,0.4,0.4,0.16,-0.24000000000000002,-0.4,-0.08,-0.24000000000000002,0.0,25,0.75,0.75,3432.6562531599484,6697.637065680136,4356.066521039902
